53303 DEBUG [2019-06-26 09:12:15]  Published WebApplicationContext of servlet 'dispatcherServlet' as ServletContext attribute with name [org.springframework.web.servlet.FrameworkServlet.CONTEXT.dispatcherServlet]
53303 INFO  [2019-06-26 09:12:15]  FrameworkServlet 'dispatcherServlet': initialization completed in 84 ms
53304 DEBUG [2019-06-26 09:12:15]  Servlet 'dispatcherServlet' configured successfully
53366 DEBUG [2019-06-26 09:12:16]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@380442b1
53367 DEBUG [2019-06-26 09:12:16]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/organization/company/]
53371 DEBUG [2019-06-26 09:12:16]  Looking up handler method for path /organization/company/
53373 DEBUG [2019-06-26 09:12:16]  Returning handler method [public java.lang.String com.ehr.controller.organization.company.CompanyController.company()]
53374 DEBUG [2019-06-26 09:12:16]  Returning cached instance of singleton bean 'companyController'
53374 DEBUG [2019-06-26 09:12:16]  Last-Modified value for [/organization/company/] is: -1
53407 DEBUG [2019-06-26 09:12:16]  Requested media types are [text/html, application/xhtml+xml, image/webp, image/apng, application/signed-exchange;v=b3, application/xml;q=0.9, */*;q=0.8] based on Accept header types and producible media types [*/*])
53407 DEBUG [2019-06-26 09:12:16]  No matching bean found for view name '/organization/company/companyList'
53410 DEBUG [2019-06-26 09:12:16]  Invoking afterPropertiesSet() on bean with name '/organization/company/companyList'
53410 DEBUG [2019-06-26 09:12:16]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
53411 DEBUG [2019-06-26 09:12:16]  Returning [org.springframework.web.servlet.view.InternalResourceView: name '/organization/company/companyList'; URL [/WEB-INF/View//organization/company/companyList.jsp]] based on requested media type 'text/html'
53412 DEBUG [2019-06-26 09:12:16]  Rendering view [org.springframework.web.servlet.view.InternalResourceView: name '/organization/company/companyList'; URL [/WEB-INF/View//organization/company/companyList.jsp]] in DispatcherServlet with name 'dispatcherServlet'
53414 DEBUG [2019-06-26 09:12:16]  Forwarding to resource [/WEB-INF/View//organization/company/companyList.jsp] in InternalResourceView '/organization/company/companyList'
56001 DEBUG [2019-06-26 09:12:18]  Successfully completed request
56002 DEBUG [2019-06-26 09:12:18]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@380442b1
57691 DEBUG [2019-06-26 09:12:20]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@44a430f7
57692 DEBUG [2019-06-26 09:12:20]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@380442b1
57692 DEBUG [2019-06-26 09:12:20]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/css/xadmin.css]
57693 DEBUG [2019-06-26 09:12:20]  DispatcherServlet with name 'dispatcherServlet' processing GET request for [/css/font.css]
57694 DEBUG [2019-06-26 09:12:20]  Looking up handler method for path /css/xadmin.css
57694 DEBUG [2019-06-26 09:12:20]  Looking up handler method for path /css/font.css
57701 DEBUG [2019-06-26 09:12:20]  Did not find handler method for [/css/xadmin.css]
57703 DEBUG [2019-06-26 09:12:20]  Did not find handler method for [/css/font.css]
57703 DEBUG [2019-06-26 09:12:20]  Matching patterns for request [/css/font.css] are [/**]
57702 DEBUG [2019-06-26 09:12:20]  Matching patterns for request [/css/xadmin.css] are [/**]
57705 DEBUG [2019-06-26 09:12:20]  URI Template variables for request [/css/font.css] are {}
57707 DEBUG [2019-06-26 09:12:20]  Mapping [/css/font.css] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
57706 DEBUG [2019-06-26 09:12:20]  URI Template variables for request [/css/xadmin.css] are {}
57708 DEBUG [2019-06-26 09:12:20]  Mapping [/css/xadmin.css] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], ServletContext resource [/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@2992a565]]] and 1 interceptor
57738 DEBUG [2019-06-26 09:12:20]  Last-Modified value for [/css/font.css] is: -1
57738 DEBUG [2019-06-26 09:12:20]  Last-Modified value for [/css/xadmin.css] is: -1
57980 DEBUG [2019-06-26 09:12:20]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
